i,u|you
mana,health|mp|energy
after,before
ye,yea|yeah
shen,ww|riven|jax|malph|panth|gp|kennen|galio|morde|ryze
kills,kils|blues|creeps|cs|deaths|buffs
de,la|un|une|bien|sous|sale|ce|tg|par|va
cause,cuz|because|coz|cos|cus|becouse|couse|when|if|but
thats,
free,
fizz,ryze|ahri|kennen|riven|annie|morde|swain|brand|vlad|jax
tank,
heal,ignite|exhaust|shield|stun|silence|ulty|ghost|ulti|taunt|ult
because,cause|cuz|coz|cos|cus|becouse|couse|but|when
tf,kennen|karthus|ahri|morde|galio|ryze|fizz|brand|swain|shen
kid,child|girl|kiddo|nerd|flamer|kiddy|cunt|bitch
vlad,morde|irelia|riven|jax|olaf|ryze|ahri|kennen|panth|fizz
jungler,jungle
r,
ryze,fizz|morde|swain|ahri|veigar|riven|talon|brand|vlad|annie
noc,udyr|amumu|mundo|ww|skarner|ali|olaf|naut|panth|shaco
warded,
irelia,riven|jax|vlad|morde|olaf|ryze|yorick|akali|fizz|darius
du,der|zu|nder|und|mit|selber|dich|ein|alter|halt
should,could|must|shouldnt|would|may|might|will|wouldnt|ll|shall
reported,banned|report|muted
try,tried
fu,
feeding,flaming|trolling|insulting|afking|spamming|feed|feedin|flamming|raging|flame
cait,graves|vayne|mf|varus|ashe|corki|sivir|ez|trist|tristana
q,e|spell|w|shield|ulti
e,w|q
morde,vlad|ryze|olaf|riven|jax|irelia|brand|kennen|fizz|talon
kog,vayne|graves|mf|ashe|corki|trist|sivir|varus|cait|veigar
ffs,
brand,veigar|ryze|morde|annie|swain|ahri|fizz|lb|akali|vlad
mundo,shyvana|udyr|noc|shaco|gp|amumu|ww|riven|olaf|skarner
taric,soraka|janna|leona|blitz|nunu|sona|alistar|ali|lulu|urgot
udyr,noc|jax|mundo|riven|naut|olaf|ww|panth|ali|gp
would,wouldnt|could|should|shouldnt|might|must|may
ofc,
doing,doin|saying
coming,comming|comin|going|omw|goin
low,high
going,goin|trying|coming|supposed
about,bout
than,then
annie,brand|ryze|fizz|swain|ahri|gragas|veigar|anivia|riven|vlad
sion,teemo|kayle|kennen|ryze|nida|lux|veigar|poppy|kata|talon
ganks,gangs|gang|gank
next,1st|2nd|3rd|nex
dead,alive
stun,taunt|silence|shield|heal|ulti|ult|ulty|ignite|exhaust|grab
start,begin
last,
could,should|would|can|wouldnt|shouldnt|might|must|may|couldnt|cannot
akali,talon|irelia|morde|ryze|brand|fizz|wukong|veigar|jax|nasus
mf,vayne|graves|ashe|varus|cait|corki|ez|sivir|trist|tristana
10,15|30|5|20|3|16|25|8|40|18
by,
steal,take|stole
lets,ill
fast,quick
use,used|cast
real,
ich,und|mehr|auch|nicht|hab|nur|noch|aber|mit|gemacht
20,15|10|40|30|25|50|35|20min|18|22
pick,picked|picks
retarded,dumb|stupid|braindead|annoying|useless|pathetic|blind|bad|gay|terrible
his,your|my|ur|her
give,gave|make|giving
always,allways
7,8|11|6|14|16|13|9|17
times,
amumu,noc|ww|gp|skarner|mundo|fiddle|jarvan|malph|shaco|rammus
corki,graves|vayne|mf|cait|ez|trist|ashe|varus|sivir|kog
some,
hit,hits|attack|shot|shoot|hitting
were,are|werent|arent|re
late,early
nothing,anything|something|nothin|what
bro,brah
has,needs|takes
best,worst
where,
alistar,ali|blitz|jarvan|nunu|mundo|leona|amumu|udyr|janna|gp
alone,solo
leave,
w,e|q
cuz,cause|coz|because|cos|cus|becouse|couse|when|but
kk,kay|yeye|oke|okey|okok
veigar,brand|ryze|swain|lux|morgana|talon|fizz|annie|kata|ahri
x,
dive,engage|chase
tu,un|bien|va|elle|qui|toi|jme|pour|ca|pas
sec,secs|seconds|sek|min|minute|mins|minutes|hours
right,
la,en|va|de|une|bien|con|un|pa|deja|que
luck,
mad,angry|happy
ll,will|wont|may|ill|might|must|wil|gotta|should|can
ss2,ss1|owm|cming|sss|wardet|commin|depush|heading|unwarded|comin
cs,creeps|lasthits|farm|deaths|kills|assists
cry,whine|qq|rage|flame|lie|sleep|crying
fault,foult|problem|prob
min,mins|minutes|minute|secs|seconds|sec|minuts|hours|00|lv
talon,akali|ryze|morde|wukong|olaf|veigar|jax|irelia|brand|lb
xin,shyvana|jarvan|gp|fiora|voli|twitch|wukong|trynda|pantheon|shaco
maybe,
l2p,
out,
ill,ll|will|lets|gotta|ima
hahaha,hahah|haha|hahahaha|hahahah|hahha|lool|ahahah|xddd|ahahaha|ahah
g,jag|inte|anan|det
yea,ye|yeah
god,
tard,retard|moron|noob|retarded|idiot|trash
an,
feeder,flamer|troller|failer|noob|leaver
ever,
wont,will|ll|cant|couldnt|cannot|must|wouldnt|wanna|dont|may
end,finish
died,came|killed|pinged|die|flashed
invade,swap
anivia,ahri|swain|ryze|lb|gragas|brand|morgana|annie|fizz|ziggs
nunu,kayle|lulu|lux|alistar|malph|taric|leona|sona|soraka|janna
over,
down,
thanks,thx|ty|tnx|thnx
sona,janna|leona|soraka|nunu|taric|lulu|kayle|lux|urgot|alistar
sivir,cait|varus|mf|vayne|tristana|ashe|graves|corki|trist|urgot
make,makes|find|give
lag,lagg|laggs|lags|bug
flaming,insulting|trolling|feeding|spamming|flame|flamming|raging|crying|afking|whining
gonna,gona|will
karthus,morde|kennen|brand|ryze|fizz|galio|veigar|panth|ez|malph
btw,
damn,dammit
fiora,wukong|teemo|gp|darius|poppy|twitch|morde|olaf|jax|voli
kata,veigar|brand|morgana|lux|trynda|talon|wukong|anivia|akali|annie
away,into
galio,vlad|malph|morde|ryze|karthus|brand|riven|kennen|panth|ww
hate,love
garen,teemo|trynda|singed|tryn|nasus|trynd|gp|fiora|wukong|poppy
n,inte|jag|anan|vad|ett|det|med|var|om|l
dragon,drake|drag|baron|nash|nashor|inhib|golems
their,our
oom,lagging
same,
que,si|ke|con|como|una|nos|reportar|deja|cuando|xq
talk,speak|complain|write|whine|listen
without,with
wanna,want|wana|wont
playing,playin
ya,
finish,end|finnish|ff
rofl,
c,mais|bon|oui|tait|est|alor|gars|nan|aussi|tkt
le,et|pour|moi|les|un|ce|pas|comme|toi|va
ping,
cv,smite|ward
miss,
tell,explain|teach|call|show|ask|say|follow|listen|blame
lucky,dumb|unlucky|greedy|squishy|blind
swain,ryze|ahri|brand|annie|fizz|veigar|anivia|morde|riven|jax
won,lost
told,said
oracle,oracles|aegis|wards|rabadon|qss|wota|thornmail|trinity
love,hate
je,moi|sa|elle|pour|alors|pas|jme|j|ca|toi
f,daf|jag|h|det|din|uck|dig
nasus,gp|trynda|wukong|talon|teemo|garen|yorick|akali|poppy|olaf
damage,dmg|damages|cc
yep,
life,health
soon,asap
epic,amazing|n1|awesome
w8,wait|waited
nope,nah
hes,shes|youre|im|ure|iam
funny,sad|annoying|boring|pathetic|obvious|bad|lame|amazing|retarded|horrible
voli,fiora|shyvana|gp|wukong|twitch|garen|jarvan|xin|tryn|olaf
morgana,veigar|ryze|anivia|brand|swain|kata|cassio|annie|ahri|gragas
8,11|13|14|16|7|12|9|6|17|18
hell,
trolling,flaming|feeding|insulting|raging|afking|spamming|reporting|flame|crying|troll
smite,cv
learn,
ban,bann|banned
champ,char|champion|hero
saw,see
killed,ulted|attacked|stunned|dived|chased|died|ultied|baited|owned|helped
9,8|13|11|16|4|14|12|3|17|6
build,items|stuff
before,after|when
loose,lose|win|lost|lsoe
fuckin,fking|fucking|fcking|fuking|fkn|fkin|fuckign|fckin|fukin
worst,best|badest|biggest|dumbest|baddest|noobest
off,
attack,atack|atk|attak|attacked|hit|chase|engage|follow
ja,sie|ne|nem|klar|um|nich|hilfe|weiter|schon|nie
engage,fight|initiate|dive|chase|move|jump|attack|run
fiddle,amumu|gp|ww|jarvan|malph|kayle|shen|mundo|shyvana|karthus
turret,tower|nexus|towers
pas,et|moi|une|pour|toi|trop|qui|tout|comme|aussi
way,
together,togheter|togehter|regroup|group
cd,cooldown
