i,u|you 
geil,lustig|wohl|nich|ihn|besser|richtig|alles|doof|dumm|eig
28,26|31|23|29|44|32|27|19|38|22
nigga,bitche|slut|phanteon|biitch|bithc|mumy|cocksucker|gaylord|cker|fagot
smoke,drink
nerfed,buffed|countered|cought|grabbed|babysitted|catched|zoned|annoyed|cocky|baned
za,kurwa|teraz|jak|ale|juz|tego|cie|tym|ci|chuj
legit,
cna,shouldn|couldn|wouldn|can|havn|cannot|wan
choice,positioning|decision|plan|arguments|timing|connection|ideas|idea|tactic
shiit,shiet|moly|shitt|sh1t|jesus|lord|sht|crap
hel,
mmm,yyy|boi|headshot|ehhh|fd|spoko|idem|mh|suka|nm
deals,dealt|dealing|tru|output
rock,rip|ambush
brother,father|dad|friend|sister|penis|name|opinion|foult|girlfriend|gf
peut,qu|nous|apres|quand|perd|peu|veut|laisse|tous|gagner
honestly,
wheres,
stuck,
lil,litle|little|girl|woman|child|whiny|nerd|virgin|pig|baddie
keeps,kept
fix,improve|prove|admit|break|cut|send|lick|doubt|hurt
bl,eller|sei|jo|och|nem|tot|ju|mig|ikke|anders
francais,fran|ais|ouai|voir|aller|jte|laisse|parle|casse|lui
staying,sitting|standing|running|walking
hahahahha,hahahahahha|ahhah|trolololol|jajajajaja|haa|fuuu|runer|nice1|ahahhaa|ahahahaha
lole,gooooo|opa|mimi|hahahaah|trololololo|noraj|loooooooooool|sryy|wtffff|loooooooool
hav,ahve
nuke,poke|oneshot|harras|zone|1shot|outfarm|kite|harass|kileld|crush
clearly,
door,ported|itch|windows|goi|tch|kurz|port
potion,pot|pots|potions|stone|cdr|hourglass|infinity
burn,
mikey,pm|spy|1single|dominance|blackup
uck,ucking|ucker|rn|wt|f|dig
torre,vez|otra|donde|cuenta|pues|asi|estas|todos|hablar|morir
tous,lui|jte|mieux|laisse|francais|meme|veut|reste|parle|ais
any1,anyone|some1|anybody|no1|somebody|noone
encore,lui|ouai|avant|francais|sinon|meme|aller|quoi|mieux|connard
ook,nog|heb|jij|moet|maar|weer|kan|dan|niks|meer
tch,itch|aron|lue|bi|door|goi
blabla,simon|mimimi|ciao|jajajaj|runer|pf|tzz|ouh|rive|pffff
han,vi|inte|det|ju|och|jag|med|sen|ett|ikke
bu,vittu|adam|iyi|eee|amk|orospu|ben|yap|eri|dsl
viel,nich|macht|rein|mehr|warum|ohne|alles|wie|weiter|weil
teamwork,skins|teamplay|hacks|fairplay|tactic|comeback|arguments
inte,jag|med|det|och|ska|vad|bara|eller|vi|som
properly,correctly
lsoe,lsot|loose|lose|loos
damnit,dammit|damned|ooh|dear|dman|aw|dam|damm|awww|fml
pass,gib|warte|nger|ganke|anders|ge|bite|ambush|schl|stall
cage,snare|bump|charm|hook|bind|taunt|stunt|juke|fling|poison
solotop,hybrid|adk
server,west|east|forum|internet|computer|video|house|country|youtube|ebay
che,cazzo|li|vai|ala|sta|ko|anda|merda|uma|asta
fuuu,hahahahahha|runer|ahahhaa|hahahahahahah|wops|haa|ahahahaha|nice1|ogm|woah
fuckers,fcker|fucker|bastards|fker|motherfcker|jew|motherfucker|pig|motherfuckers|whores
plzz,plis|pelase|pliz|psl|pleas|plss|plx|plizz|plese|meeeeeeeeeeeeeeeeehhhhhhhhhhhhhhhhhhh
realize,realise|notice|expect|understand
soloq,aram|3v3|general|teamchat|selection|5vs5|lobby|dominion
bros,guyz|dudes|verry|brah|bra|mummy|shac|nox|honey|buddy
brah,bros|bra|ahh|buddy|honey|hah|mh|mhm|skillz|babe
gamer,palyer|ganker|gamers|farmer|euw|healer|playa
bird,monkey|biatch|fish|rat|bear|cow|twat|rize|bithc|victor
fois,contre|fait|fais|par|mort|avoir|encore|meme|chier|sont
alrdy,allready|nearly|youve
reach,deny|beat|touch|survive|kite|zone|find|handle|bring|believe
pressed,press|clicked
26,28|23|27|31|32|22|29|19|44|33
refuse,refusing|decided|refused|refuses|unable|tryed
wen,kommen|gesehen|schnell|muss|sterben|zeit|jeden|zum|gehen|wieso
dios,asi|vez|otra|dices|mio|siempre|ahora|malo|gente|aqui
egal,klar|voll|besser|hier|jetzt|alles|ihn|nix|uns|rum
case,situation|general|teamchat|future|teamfights|lobby
faut,francais|vien|lui|avant|suce|quand|ais|voir|doit|meme
sam,tez|kad|juz|chyba|raz|teraz|grac|ko|jestes|ale
nor,noi|overrated|nio|wihtout
himself,herself
sayin,fyi|chilling|realised|unlucky|testing|wondering
kanker,laat|nou|goed|hoor|zijn|toch|kon|weet|aan|weer
somebody,some1|someone|any1|anyone
supports,
pool,charm|tibbers|spear|bombs|stealth|snare|arm|bomb|circle|dash
mh,arg|aso|jap|aye|oha|tee|mang|jaki|aaah|mmm
sagt,bringt|gesagt|voll|alleine|einfach|aus|eig|nix|weil|dass
gamw,sou|gamo|tin|etsi|mou|mouni|tn|thn|sas|kanei
deja,aller|vos|bien|allez|tellement|pete|casse|francais|pue|merd
sheen,madreds|shurelya|shurelia|deathcap|rabadon|shurelias|wriggle|atmas|warmog|wriggles
27,23|22|26|21|31|32|19|35|29|17
decent,huge
damm,dman|damned|fuckgin|fucknig|hater|fckign|fuckig|ogm|sucha|stf
dot,bomb|spear|green
ese,este|esta|retrasado|puto|como|manco|muy|malisimo|malo|buena
bans,reports
cago,gusta|soule|tus|muertos|matan|jode|cuenta|tira|xq|mata
sei,nem|leise|ter|ruhig|um|witz|suger|geld|spa|wixxer
gam,gmae|game|match|gme
shyva,fiz|kyle|riv|ramus|temo|oalf|anni|ani|arhi|casio
zhao,zao|nooooooob|wb|l2play|nooooob
zzzz,woo|trolololol|ddddddd|laaag|loooooooool|lalala|wtfff|gogoog|awh|loooooooooool
comeback,killsteal|update|trick|reactions|mentality|tactic|juke|shark|response|nick
three,two|several
ksing,flameing|falming|suiciding|overextending|cheating|spaming|lying|arguing|chatting|trashtalking
xdddddd,ahahahahahaha|haa|jajajajaja|congratz|hahahahahha|jebane|trolololol|hehehe|gggggg|hahahaa
bring,zone|kite|lure|ambush|deny|prove|punish|harrass|reach
teh,hte
pues,juego|porque|ahora|donde|asi|poco|mio|otra|gilipollas|culpa
parents,family|mum|mothers|father|sister|dad|self|mums|boyfriend|country
spear,bomb|axe|charm|tibbers|skillshots|pool|crit|ultimate|ability|arrows
plox,plx|pl0x|plizz|ineed|pleas|psl|plase|pzl|plesae|pleae
sek,secs|seg|mn|minuts|seconds|hours|sec|cm|3vs|lev
walking,running|standing|moving|runnin|jumping|staying|miles|pinging
somewhere,anywhere
shrooms,mushrooms|bombs|arrows|arguments|traps|bugs|skins|phage|tactics|wars
didint,dident|dint|dindt|didnt|dnt|couldnt|dotn
lasthits,cs|kils|points|blues|assists|items|kd|lifesteal|exp|creeps
cheating,lying|arguing|suiciding|feding|soloing|overextending|flameing|downloading|trashtalking|fedd
supporter,clan
uhm,umm|ehhh|2late|yyy|hum|mmh|awww|wena|nm|sr
ans,jahre|mn|fois|seg|lev|nivel|minuts|pv|asists|assits
imma,ima|lemme|igo|trsit|aron|cork
snowball,roam|poke|backdoor
frag,frags|quadra|firstblood|killz|kils
acting,act|lying|arguing|raging|overextending|qqing|talkin|child|whining|suiciding
tou,sta|tas|8a|ko|sus|li|mou|nao|tin|ala
chased,focused|grabed|taunted|attacked|ulted|outfarmed|zoned|killed|kileld|dived
fags,faggots|assholes|kiddys|lows|whores|morons|kiddies|motherfuckers|cunts|shits
par,vien|ces|fais|enfin|parle|encore|gaffe|merci|meme|laisse
sword,atma|mallet|edge|stone|hearth|zeal|effect|scepter|dancer|heart
ven,hora|vi|sta|era|han|loco|ni|az|anda|mamma
age,niveau|iq|stupidity|mama|behaviour|pr|legs|finger|aura|partie
flamming,spamming|insulting|spaming|whining|racism|flameing|afking|spamm|flaming|flamme
list,nerves|screen|profile
ng,anan|ker|vad|italian|ucker|bak|ger|ucking|eg|oc
io,espera|anda|tenemos|vai|vale|pasa|esk|isto|peor|asta
ed,2s
deads,deaths|asist|assits|lv|assists|minuts|jahre|asists|ans|levels
ultra,mega|uber|pante|fucken|ahahha|soooooo|freakin|vaigar|pmg|yorik
nach,aus|noch|rum|gleich|alleine|vom|bei|zum|dir|weil
throws,ruins|throwed|trow|threw|hates|ignores|trhow|ruine
carefull,careful|quiet|polite|honest|silent|agressiv|agressive|aggresive|aggressive|aware
allistar,ramus|zigs|jana|vladi|vaine|heracim|nidale|fiz|bliz|ammumu
scary,laggy|horrible|hilarious|dyrus|anoying|unlucky|terribad|drunken|retarted|laging
nous,reste|veut|qu|lui|peut|laisse|apres|francais|tous|quand
outfarm,pown|pwn|1shot|nuke|zone|crush|oneshot|rapes|beat|kiled
invisible,backdooring|dancing|ded|smurfing|beste|immortal|unkillable|surprised|dced|basing
edge,infinity|dancer|phantom|zeal|atmas|inf|pd|angel|mallet|guardian
buena,dices|tonto|hablas|suerte|manco|dios|porq|mete|partida|mejor
working,surrendering|moving
ahahahahah,playa|runer|soooooo|haa|tee|relaly|jajajajaja|fckng|idioot|fuuu
3v2,4v3|4v2|wardet|4vs4|unwarded|2vs2|5v2
saving,baiting|owning|pwning|carrying|raping|ignoring|holding
scrubs,faggots|fags|lows|assholes|tards|gays|suckers|kiddys|morons|germans
ages,rod
night,whisper|tick|patch|tiem|round
ki,doit|lui|pire|vos|jsui|aller|tkt|allez|ces|nn
losers,lows|suckers|whores|loosers|retardeds|baddies|motherfuckers|dumbs|niggers|newbs
cas,olag|temps|morte|monde|faite|gars|chui|moins|tes|etre
enemys,enemies
4v4,4v6|pointless|alright|5v4|4on5|imposible|unbelievable|senseless|3vs5|5vs4
reporte,helf|pg|moin|repoert|prends|warte|sinn|rox|repoort|reportet
untill,till|until|til
patch,whisper|round|night
fai,koi|voila|baise|tellement|pire|lui|peter|vraiment|parle|merd
zone,harass|kite|harrass|deny|lure|nuke|beat|crush|poke|outfarm
faggots,fags|cunts|lows|morons|scrubs|suckers|bastards|assholes|trashes|shits
record,video
fuckking,facking|faking|fkng|fckn|fuckn|fuckingg|fuucking|fukin|fckin|freakin
brains,glasses|sustain|hands|shoes|eyes|skins|brain|lifesteal|oracel|oracles
huehuehue,premad|hahahhahaha|nj|debil|olol|sniper|gotcha|spoko|gh|jj
dn,gia|exeis|kaneis|mou|kai|8a|twra|pou|esu|kanw
mor,mroe|moar
gogog,gogogogo|gpo|1ss|omh|gogogog|nr1|gogogo|re1|goooo|wops
sch,flamen|ganz|ruhig|werden|wenigstens|eig|sst|runde|zum|schreiben
corky,vayn|cayt|vladi|trista|anie|vaine|casio|fiz|arhi|chogath
supporting,listening|smurfing|joking|lagging|carrying|recording|drunk|seeing|stoned|surprised
talkin,talking|speaking|arguing|complaining|lying|qqing|suiciding|chatting|cryin|bitching
healed,ignited|ultied|flashed|warned|ulted|followed|backed|shielded|watched|recalled
newbie,geek|handicap|baddie|gaylord|whiner|nazi|cryer|spammer|mexican|robot
soll,sonst|denn|sagen|passiert|willst|euch|geht|hier|ach|alleine
mes,jte|avant|tellement|ces|quoi|lui|jai|ais|quel|leur
set,clean|messed|fked|shup|scroll|feedershut|blew|knock|sut|feederv
orly,2ss|mongol|opa|suka|coime|ree|emm|heu|hahahaah|opmg
swear,
respawn,spawns|spawn
tin,gamo|8a|gamw|sou|pou|exw|exeis|tn|sas|tou
mummy,pan|mumy|amu|signed|kyle|bros|chogath|tw|sahco|rat
ooo,lolo|gargas|hu|jaki|eee|dobra|hehehe|soi|sio|mh
tour,vie|encore|nous|sinon|salope|veut|meme|reste|deux|sous
stood,stands|stayed|standing|stand|walked
ouais,oui|ouai|fran|anglais|francais|ais|ces|gamin|doit|voir
cary,carrie|flat|carrys|carr
cat,
overfed,focsu|godlike|immortal|outfarming|usles|overfeed|uselss|blinded|uselles|wb
gegen,von|wurde|erst|kommt|nur|zu|mit|weil|und|reporten
pulled,kicked|ulted|attacked|exhausted|grabbed|stuned|taunted|grabed|hooked|chased
nichts,nix|ihn|sowas|alles|dass|wohl|heute|grad|gesagt|eigentlich
rude,childish|silly|honest|polite|angry|mature|clever|quiet|arrogant|abd
donc,lui|jte|alors|jsuis|ouai|francais|allez|encore|parler|quoi
dint,dident|didint|dindt|dnt|didnt
ridiculous,hilarious|amazing|unfair|annyoing|anoying|awesome|horrible|awful|pointless|unbelievable
angel,guardian|thorn|atma|atmas|shurelya|mallet|shurelias|oracel|deathcap|edge
autoattack,autohit|charm|shooting|snared|suicid|haras|stunt
etre,alors|dire|jte|tre|encore|quoi|donc|parler|lui|aller
feeling,timing
wouldn,shouldn|hadn|couldn|weren|havn|hasn|haven|ain|aren|doesn
ab,zum|rum|ihn|kannste|sonst|wenigstens|heute|sagen|warum|eigentlich
sounds,feels|looks|felt|seems|act|sound|behave
baiting,raping|ignoring|pwning|saving|owning|harassing|recalling|following|eating|carrying
hahahahahah,nice1|xddddd|hahahahahahah|opmg|jajajajaja|thc|gotcha|waw|fuuu|feeeder
mu,kad|pw|exeis|tym|sus|poso|agora|bom|mono|ainda
crash,crashed|closed|client|reboot|freez|inet|buggy|wooden|ops|awfull
drak,barron|abron|baro|drkae|nahs|baorn|inh|braon|bron|barin
oups,woops|oops|nooooooooo|leon|hhaha|tee|oha|guise|jan|overkill
hug,hugging|tanked
lower,higher|older
decide,decided
aka,zigs|olag|fio|ryz|ari|vaine|vayn|popy|hari|arhi
wird,naja|werden|nix|richtig|sein|alles|grad|wohl|euch|nichts
lots,tons|loads|plenty|amount|isntead|alot|lack|sons|none|insted
newb,twat|brilliant|lowbob|cocksucker|retardeds|baddie|wanker|mexican|reatard|animal
sex,bluebuff|sunfire|latency|golds|deathcap|cds|wriggle|shoes|hourglass|space
leesin,ramus|vladi|heca|hec|fidle|tw|allistar|malp|anie|bliz
round,patch|whisper|tick|night
ei,ter|nger|anders|ge|ej|vittu|spa|dom|gel|rr
zhonya,shurelya|deathcap|randuin|hourglass|bf|rabadon|zhonyas|sheen|shurelias|fh
towerdive,1shot|counterjungle|folow|backdoor|zone|crush|nuke|annoy
realise,notice|realize|expect|noticed
gf,girlfriend|sister|father|boyfriend|finger|opinion|playstyle|brother|dad|mum
lolololol,wtfff|npnp|awh|woot|wops|omgf|brbr|fuuuu|sryy|heu
prend,tuer|fais|prendre|parle|baise|aussi|gaffe|laisse|suce|temps
tkt,eux|ces|ouai|voir|aller|francais|potes|pire|tai|ais
role,
heim,temmo|vaine|cayt|caytlin|trsit|vladi|kartus|alista|heracim|anie
replay,minimap|stream|scores|tv|profile
rl,arsch|reallife|busch|ruhe|ts|kopf|morgen|schule|renn|sich
dire,parler|francais|parle|connard|etre|fran|allez|crire|faire|ouai
tis,mouni|ths|etsi|gamw|mou|gamo|mater|pw|exeis|ama
allo,bana|heu|opa|jeje|izi|valla|tss|ataca|moze|corre
sound,girls|felt|sounds|act
ela,oxi|afou|nai|pio|eleos|gia|exeis|kala|mlk|esu
blade,ring|rings|stacking|pen|mobility|pene|cloth|quints|lantern
ego,clg|online|normale|esu|anus|eisai|zwo|brilliant|gangster|papa
stuf,scor|shutup|runer|morte|fils|bande|mie|nik|caitlin|pg
bott,tiop|tpo|topo|topp|miod|mdi|bto|otp|biot|toop
zoned,outfarmed|outplayed|countered|pwned|annoyed|babysitted|raped|camped|grabbed|cought
ehh,jk|whaha|haa|kl|hehehe|hahaah|ahahhaha|aah|fff|fkc
woot,opa|fg|wops|wtfff|npnp|aie|heu|gol|spoko|moze
nobs,noooooobs|noooobs|campers|nooobs|retardeds|bp|newbs|noobz|lows|nooooob
era,malo|mejor|sabes|vale|este|asi|tonto|esk|bueno|aqui
pelase,plzz|plese|psl|plizz|plesae|plis|pl0x|pleas|plx|plase
fa,pr|sera|nn|partie|fort|fai|deja|attend|pe|ki
4v1,3vs1|5vs1|4vs1|feders|haah|hahahahaha|5v1|ahahahah|5v2|preamde
hour,minute|month
germany,poland|spain|france|russia|england|greece|china|nowhere|elohell|turkey
naja,werden|nix|jetzt|richtig|dass|uns|nciht|einfach|alleine|eig
walked,ran|walks|runs|walk|jumped|stood|went|flashed|turned|stayed
wolfes,wolfs|wolf|ghosts|wolves|wraits|wraith|wraths|wraiths
expected,meant
ser,torre|poco|hablar|aqui|estas|gilipollas|era|vez|nosotros|pues
wh,puss|aun|luego|encima|me2|yyy|tenia|mda|dani|enserio
moving,surrendering|engaging|walking|attacking|ulting|pulling|fighting|defending|dying|dieing
feder,hacker|spamer|kser|bitchh|noooob|spammer|troller|coward|cheater|iidot
tanked,hug|attacked|hugging|hitted|ignited
screw,fked|showed|fcked|fuked|messed|fuckd|shows|blew|shup|wake
during,befor
probs,issues|problems|exh|zhonyas|hourglass|cash|space|deathcap|sustain|cds
noobb,noon|nooooob|feeeder|nooooooob|nobb|nnoob|noobo|nooooooooob|jajajajajaja|hahahahhaha
uselss,terribad|usles|usseles|retarted|tarded|godlike|overfed|useles|worthless|uselesss
omf,nooooooooooob|yw|tks|wops|nice1|opmg|thks|fy|gotcha|wtffff
ves,veo|ahora|mejor|cuando|sabes|mato|antes|tanto|pero|pues
stat,stats|scores|score|scor|girlfriend|gear|itembuild|iq|kd|profile
germans,russians|nazis|flamers|gays|trollers|kiddys|fags|lows|niggers|losers
cba,
2v3,2v5|2vs5|1vs5|5vs4|5v2|4vs4|3vs5
hh,aso|oj|depp|p12|typ|tten|kanacke|puh|orospu|fg
res,resi|pen|pene|penetration|armour|mres|resistance|atmas|resist|atma
decided,refused|managed|refuse|tries|refuses|unable|wanted|tried|decide|tryed
kenn,casio|pante|caith|vladi|alista|shac|varrus|kasadin|yorik|kyle
traps,mushrooms|boxes|bombs|eye|hands|gear|arrows|shrooms|glasses|oracel
suckers,lows|trashes|nazis|trollers|whores|faggots|luckers|bugs|losers|cheaters
mp,energy|chanse|healt|rm|ingite|flahs|exaust|coments|worries|coment
cast,activate|cancel|dodge|use
halts,maul|naja|fick|kommt|kleine|nciht|eigentlich|alleine|lieber|sag
ia,dej|li|ama|sta|ste|kad|fds|ainda|tar|fdx
bande,fils|gros|pute|arrete|hijos|putin|sal|putain|merd|salope
ren,wissen|fertig|erz|kevin|sowas|jz|drauf|ihn|fett|dann
laughing,cryin|lying|speaking|ignoring|dieing|raging|sucking|talkin|troling|eating
shits,cunts|fags|faggots|children|mentally|prick|girls|assholes|cunt|jew
abyssal,zekes|madreds|shurelia|rabadon|lw|warmogs|zeke|aegis|atmas|philo
sich,uns|kommen|jetzt|mich|zeit|dass|werden|einfach|hilfe|eigentlich
reset,stolen
offtank,hybrid
teamgame,bannable|reportable|senseless|unbelievable|joke
couldve,wouldve|coulda|woulda|shouldve
wouldve,woulda|couldve|coulda|ve|uve|hadnt|havent
zigg,fio|shacco|hari|riv|zigs|shac|wuk|fidd|yorik|aka
kiss,lick|sck|d1ck|finger|chek|cut|dirty|suk|di|dik
ohhh,ouh|reflex|guise|ahhahahaha|aye|okok|me2|noobi|corkie|oups
turet,torret|inhibitor|turrent|nexus|towe|turrets|inib
country,mothers|dreams|parents|mums|stupidity|opinion|sister|father|name|house
facepalm,looooool|hahahahahahah|oha|urf|haa|gran|2ss|waow|nooooooooo|okai
erf,aie|maj|bana|fuuuuu|fg|overkill|puh|ahahahahahaha|gogoog|woops
knock,knocked|scroll|shup|blew|sut|showed|feedershut|messed|set|hurry
trista,vladi|fio|heim|caytlin|corky|trsit|trinda|kenenn|chogath|volli
stp,serieux|aussi|arrete|connard|vien|parle|gaffe|petit|pourquoi|ces
stolen,takin|leme|stealed|respawned|buf|secure|card|hun|steals|reset
ihn,nichts|sowas|werden|uns|nix|jetzt|alles|warum|fertig|dass
alis,raka|riv|wuk|sorak|vayn|popy|fio|skaner|eze|casio
third,3rd|5th|frist|firt|2nd|nxt|6th|evry|1st|nex
nad,gogo|gogogo|omf|rocks
diablo,dota|cod|months|vs5|weeks
ring,blade|rings|pene|stacking|mobility|mercury|cloth|quints|lantern|83
happend,happened|happens|happening|happen
cuando,ahora|pero|eso|como|asi|mato|estoy|todo|porque|otra
laggy,scary|unlucky|buggy|retarted|hot|noobish|confused|anoying|dump|unfair
attak,atack|atk|attack|atak|cahse|folow
bruiser,mage
cleanse,clarity|smartcast|lantern|exh|utli|zhonyas|ex|revive|teleport|hourglass
allready,alrdy
gameplay,mentality|grammar|scores|nick|behavior|behaviour|positioning|country|partner|gaming
fp,instalocked|focsu
calls,loves|rages
dats,tahts
porn,downloading|qqing|chatting|arguing|capslock|jokes|whining|falming|lying|excuses
heavy,mainstream|dangerous|stronk|mutch|lazy|strong
ohne,dann|eine|eig|aus|diese|alles|nich|nix|weil|schon
likes,loves|wants|tries|refuses|spams|cries|sees|hates|leaves|knows
tiene,tengo|para|tenia|hace|ahora|antes|este|tener|asi|mejor
argh,awh|woah|ugh|seriosuly|fml|fc|noobbb|misclick|ahahhaa|guise
jest,juz|tego|jak|mnie|mam|grac|wiem|teraz|jestes|bylo
incoming,gogog|nice1|coime|nio|npnp|zzz|nicee|wauw|niec|wops
number,
dar,sempre|tava|anda|tas|dale|ver|comprar|fdx|torre|estas
vai,anda|nunca|faz|uma|sta|ele|che|ainda|era|agora
pressure,
iu,
som,inte|med|eller|ett|jeg|jag|bara|vad|det|ska
1v4,2vs5|1vs4|bk|undertower|adk|1vs3|bck|gog|bacl|bakc
argue,speak
ul,content|spel|udir|pq|arr|stu|ue|sal|utli|aurais
bas,meme|fin|pue|prendre|peter|temps|suce|par|deux|haut
chogath,panteon|blitzcrank|victor|grags|darus|vladi|trista|kenenn|pante|nocturn
tot,alta|wenigstens|gar|kom|jo|witz|ne|weg|beste|leise
attacks,shots|atk|hitted|dives
phase,
2ss,re1|s2|hallo|opa|baylife|niggas|warde|wtfff|dafaq|oha
todo,estoy|asi|rato|azul|otra|otro|cuando|mato|como|porque
proper,
reconnect,relog|restart|repeat|reconect|50g|tele|golds|pee
pointless,hilarious|senseless|unfair|unbelievable|ridiculous|awfull|imposible|strange|4v4|difficult
pissed,pissing|piss|bored
wriggle,shurelia|randuin|shurelias|shurelya|sheen|atma|atmas|merc|inf|sunfire
rankeds,defensive|normals|safer|tetris|mario|barbie|draft|aggresive|ranked|pokemon
br,kes|nej|eller|neger|vet|david|mig|ett|typ|abi
straight,knock
leee,heracim|alister|nocturn|shyvanna|vladi|zigs|darus|malphit|rize|shacko
genau,dumm|dass|nich|gefeeded|eig|krass|warum|richtig|wieso|doof
bcs,couse|bcuz|becuase|bec|beacuse|becouse|casue|becasue|isntead|sons
test,bite|train|sent
unfair,ridiculous|boring|strange|pointless|lame|nooblike|weird|anoying|unbelievable|sad
gangplank,trinda|shacko|heracim|nocturn|victor|tryndamere|gankplank|rize|yii|alista
bite,tape|suce|crever|sent|arabe|donne|chez|parle|baise|vois
tam,tez|teraz|raz|grac|isto|juz|tego|ci|oni|czemu
tss,whay|boo|loll|ogm|wops|pffff|gogogogo|omng|wtfff|opmg
ebay,west|server|video|anal|youtube
screwed,fcked|fucked|fked|fuckd|fuked|messed|showed|screw|shows
kite,zone|harass|deny|killl|harrass|harras|lure|punish|nuke|forgive
leo,panteon|fior|fio|jan|olag|kathus|darus|ryz|vyane|wk
woops,oups|ahe|oha|fuuuuu|ahahhaa|tee|jep|nooooooooo|okok|arg
mofo,pig|motherfucker|motherfcker|fagot|jew|biatch|slut|wannabe|fcker|fker
willst,machst|denn|soll|sonst|wenigstens|passiert|kannst|ach|siehst|sagen
communication,comunication
anywhere,somewhere
kyle,kartus|casio|fiz|shac|popy|riv|cayt|pan|ammumu|anni
temmo,heim|morder|anie|ramus|yii|heracim|fiz|temo|hari|zigs
ee,vo|perdido|vagy|sen|kes|mamma|hora|fare|amk|han
blablabla,batard|afl|insultes|ole|ciao|boloss|gran|yeahh|couille|nik
dream,playstyle|shitting|tits|period|hating
stealth,goed|rl|pool|storm|mushroom|pula|dark|reallife|hij|meiner
5k,6k|7k|3k|8k|4k|1k|9k|bars|54|45
laner,ss2|ss1
hide,
pan,kyle|gangplank|trinda|hec|fidle|kartus|malphit|cassi|leo|fiz
tiem,tim|time|night|day
pig,biatch|slut|douchebag|jew|freak|twat|bitchh|bithc|hoe|wanker
med,inte|och|jag|som|det|bara|eller|ett|var|jeg
jeg,med|det|som|ikke|inte|bare|ju|var|han|och
scum,twat|whores|retardeds|wanker|trashes|faggots|fags|lows|jew|tryda
russians,germans|fags|lows|jews|nazis|luckers|losers|gays|trollers|premades
beter,older|slower|betetr
ignoring,raping|owning|pwning|baiting|reporting|trollin|asking|carrying|following|joking
eng,grammar|manners|english|mentality|englisch
shots,shot|flashes|hitted|attacks|ultis|ults
sag,nciht|eigentlich|kannst|kommst|heul|wirklich|wollte|unten|runter|kommt
aggresive,aggressive|agressive|defensive|agresive|agressiv|mario|safer|rankeds|lego|carefull
vladi,panteon|vayn|cayt|trista|caith|fio|kartus|zigs|heim|ramus
scumbag,genius|usles|usseles|uselles|coward|nnoob|pr0|zao|cheated|uselesss
vou,vai|vais|jsui|aver|pa|personne|doit|sta|lui|anda
accept,assume|doubt|hurt|admit
teeemo,rize|yii|vaine|trinda|hari|malphit|fio|nocturn|vladi|fizzz
suiciding,arguing|lying|overextending|falming|qqing|cheating|trashtalking|flameing|feding|bitching
yah,nooooooooo|baguette|mh|lalala|aso|yey|yaya|hhh|jajajajaja|p12
arrows,skillshots|qs|bombs|tits|shrooms|pet|bugs|grabs|grammar|nick
mushrooms,shrooms|traps|reactions|wrads|weed|eq|arrows|hacks|mush|wars
damages,dammage|damge|damage|dmg|resist|lifesteal|resistance|arrows
vik,zigg|fio|veiger|zigs|varius|fior|oriana|maplh|vaigar|riv
especially,uselles|focsu|overfed|rocks|sleeps|beats|cheats|usles|speaks|roams
psl,plzz|plizz|pleas|plis|pliz|pelase|plx|plss|plzzz|plesae
rating,elo|server|acc
gee,hurr|testa|durr|blah|fkign|fml|aie|hh|woo|lalala
jeez,congratz|wd|opa|sdf|loooooooool|woah|loooooooooool|suka|headshot|gooooo
silenced,slowed|taunted|stuned|dced|confused|ded|feared|stunned|recalling|exhausted
manco,este|juego|soy|eres|retrasado|culpa|dios|buena|asi|mato
cost,
peux,veux|crois|vois|veut|pourquoi|parle|vien|veu|sinon|fais
vien,jamais|leur|viens|lui|parle|par|tellement|quand|tous|ces
kasa,ani|fiz|arhi|kas|varrus|vaigar|darus|grags|morder|casio
parler,parle|dire|connard|salope|reste|francais|veut|fran|meme|lui
jte,francais|lui|voir|grosse|ouai|meme|chier|ais|donc|seul
poison,shark|nick|bomb|pet|hooks|teamates|headbutt|sio|tibbers|dik
jop,gerne|stimmt|sowieso|kanacke|schade|welche|schuhe|dabei|trotzdem|behindert
passiv,passive|pasive|pet
lolo,congratz|aie|ooo|jajajajaja|noraj|fg|wtfff|dman|jebane|laf
movement,mov|armour|atk|pen|built|ability|lifesteal|pene|lantern|potions
uff,wtfff|gogogog|grrr|fy|wops|ehhh|gogoog|aie|ezra|jj
awareness,awarness|mini|controll|control
pwnd,pwned|ownd|bursted|aced|hooked|dove|outplayed|kileld|catched|powned
laisse,francais|allez|ais|parle|meme|aller|tous|jte|voir|veut
aram,general|soloq|normals|dominion|teamchat|3v3|5vs5|lobby|future|order
cassiopeia,gankplank|vaine|renk|fio|morder|trinda|vladi|afkers|heracim|gangplank
fire,box|pool|tibbers|circle
fan,dig|vad|ju|ste|meg|vi|mig|hur|inte|och
shouldn,wouldn|hadn|havn|couldn|hasn|weren|haven|ain|aren|cna
spaming,spamming|flamming|spamm|trashtalking|insulting|flameing|flamme|racism|afking|falming
yw,gotcha|nj|ghj|gh|spoko|nice1|aff|wtffff|wops|thc
viens,vien|aussi|meme|fais|laisse|parle|francais|gaffe|par|encore
changed,switched|suicided
oalf,fio|renk|grags|shyva|zigg|vladi|anni|phant|temo|amu
bugs,suckers|nazis|luckers|motherfuckers|randoms|elohell|nubs|trollers|trashes|arrows
