400567,0,0,Negative Attitude,1,2,5,1679
400567,1,0,Offensive Language,1,1,5,992
400938,0,0,Offensive Language,3,0,5,1565
400938,1,0,Verbal Abuse,2,0,5,2329
400415,0,0,Offensive Language,4,0,12,1845
400415,1,0,Intentionally Feeding,3,0,12,2052
400415,2,0,Verbal Abuse,0,3,12,1320
400415,3,0,Offensive Language,2,0,12,3030
400244,0,0,Offensive Language,1,0,3,1069
400244,1,0,Offensive Language,1,0,3,840
400244,2,1,Verbal Abuse,0,1,3,832
400003,0,0,Assisting Enemy Team,1,2,10,1599
400003,1,0,Negative Attitude,1,2,10,1682
400003,2,0,Assisting Enemy Team,2,1,10,2675
400003,3,0,Verbal Abuse,0,1,10,2744
400561,0,0,Negative Attitude,3,0,9,1454
400561,1,0,Offensive Language,2,0,9,2112
400561,2,0,Offensive Language,2,0,9,1949
400561,3,0,Offensive Language,2,0,9,2269
400686,0,0,Intentionally Feeding,2,1,5,1758
400686,1,1,Verbal Abuse,0,2,5,2228
400107,0,0,Intentionally Feeding,4,1,18,1401
400107,1,0,Negative Attitude,3,1,18,1425
400107,2,0,Intentionally Feeding,2,1,18,1509
400107,3,0,Intentionally Feeding,3,0,18,2119
400107,4,0,Intentionally Feeding,1,2,18,1560
400700,0,0,Offensive Language,2,1,4,2752
400700,1,0,Intentionally Feeding,1,0,4,1559
400456,0,0,Offensive Language,2,3,9,3129
400456,1,0,Verbal Abuse,2,2,9,2213
400731,0,0,Offensive Language,1,2,7,2837
400731,1,1,Verbal Abuse,1,1,7,2227
400731,2,0,Verbal Abuse,1,1,7,1389
400981,0,0,Intentionally Feeding,2,1,15,1740
400981,1,0,Assisting Enemy Team,3,0,15,2064
400981,2,0,Offensive Language,3,0,15,1940
400981,3,0,Verbal Abuse,1,2,15,1588
400981,4,0,Spamming,3,0,15,2552
400358,0,0,Verbal Abuse,2,2,6,1776
400358,1,0,Verbal Abuse,2,0,6,2232
400592,0,0,Offensive Language,3,0,5,2633
400592,1,0,Offensive Language,2,0,5,2207
400238,0,0,Assisting Enemy Team,4,0,19,2310
400238,1,0,Intentionally Feeding,3,1,19,2193
400238,2,0,Intentionally Feeding,2,2,19,2210
400238,3,0,Intentionally Feeding,4,0,19,2595
400238,4,0,Negative Attitude,3,0,19,1487
400264,0,0,Negative Attitude,2,1,15,2282
400264,1,0,Offensive Language,0,3,15,1418
400264,2,0,Verbal Abuse,0,3,15,1304
400264,3,0,Offensive Language,1,2,15,2466
400264,4,0,Spamming,3,0,15,2694
400934,0,0,Verbal Abuse,0,4,5,2623
400934,1,0,Intentionally Feeding,1,0,5,1241
400387,0,0,Intentionally Feeding,2,5,12,1663
400387,1,0,Assisting Enemy Team,3,0,12,2161
400387,2,1,Negative Attitude,0,2,12,1553
400461,0,0,Intentionally Feeding,2,0,4,1756
400461,1,0,Offensive Language,0,2,4,1595
400649,0,0,Offensive Language,2,1,5,1336
400649,1,0,Verbal Abuse,2,0,5,2853
400917,0,0,Offensive Language,2,2,10,1931
400917,1,0,Intentionally Feeding,2,0,10,3033
400917,2,0,Negative Attitude,2,0,10,3426
400917,3,0,Intentionally Feeding,1,1,10,1222
400311,0,0,Offensive Language,3,0,14,3089
400311,1,0,Intentionally Feeding,2,1,14,2403
400311,2,0,Verbal Abuse,3,0,14,1225
400311,3,0,Verbal Abuse,1,2,14,2119
400311,4,0,Offensive Language,2,0,14,1680
